emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,count
-1.1,94.199,-37.5,0.88,4963.6,20
-1.1,94.199,-37.5,0.877,4963.6,20
-2.9,92.963,-40.8,1.215,5076.2,20
-1.7,94.215,-40.3,0.835,4991.6,20
-1.8,92.843,-50.0,1.757,5099.1,20
-1.8,92.843,-50.0,1.663,5099.1,20
-3.4,92.379,-29.8,0.788,5017.5,20
-3.4,92.379,-29.8,0.77,5017.5,20
-1.1,94.601,-49.5,0.987,4963.6,19
-1.7,94.215,-40.3,0.81,4991.6,19
-1.1,94.199,-37.5,0.884,4963.6,19
-1.7,94.055,-39.8,0.754,4991.6,19
-1.7,94.215,-40.3,0.861,4991.6,19
-1.8,93.369,-34.8,0.653,5008.7,19
-1.8,93.876,-40.0,0.668,5008.7,18
-1.7,94.215,-40.3,0.84,4991.6,18
-1.1,94.199,-37.5,0.876,4963.6,18
-3.4,92.431,-26.9,0.737,5017.5,18
-1.1,94.601,-49.5,1.0,4963.6,18
-3.0,92.713,-33.0,0.717,5023.5,18
-3.0,92.713,-33.0,0.706,5023.5,18
-1.8,92.843,-50.0,1.52,5099.1,17
-3.4,92.431,-26.9,0.744,5017.5,17
-1.7,94.055,-39.8,0.742,4991.6,17
-1.8,92.843,-50.0,1.538,5099.1,17
-1.7,94.215,-40.3,0.899,4991.6,17
-1.7,94.055,-39.8,0.767,4991.6,17
-1.1,94.601,-49.5,0.972,4963.6,17
-1.7,94.027,-38.3,0.905,4991.6,17
-3.4,92.431,-26.9,0.733,5017.5,17
-1.8,93.876,-40.0,0.672,5008.7,16
-1.8,93.876,-40.0,0.684,5008.7,16
-1.1,94.601,-49.5,0.959,4963.6,16
-2.9,92.201,-31.4,0.843,5076.2,16
-2.9,92.469,-33.6,0.908,5076.2,16
-2.9,92.963,-40.8,1.286,5076.2,16
-1.7,94.215,-40.3,0.884,4991.6,16
-1.1,94.601,-49.5,1.032,4963.6,16
-3.4,92.379,-29.8,0.741,5017.5,16
-1.1,94.601,-49.5,0.982,4963.6,15
-1.1,94.767,-50.8,1.046,4963.6,15
-1.8,93.369,-34.8,0.654,5008.7,15
-1.8,93.749,-34.6,0.659,5008.7,15
-3.4,92.431,-26.9,0.731,5017.5,15
-1.1,94.199,-37.5,0.881,4963.6,15
-1.8,93.369,-34.8,0.639,5008.7,15
-3.4,92.431,-26.9,0.743,5017.5,14
-1.7,94.055,-39.8,0.739,4991.6,14
-1.1,94.767,-50.8,1.048,4963.6,14
-1.8,93.876,-40.0,0.683,5008.7,14
-1.8,93.369,-34.8,0.636,5008.7,14
-1.7,94.215,-40.3,0.889,4991.6,14
-1.8,93.369,-34.8,0.643,5008.7,14
-1.8,92.843,-50.0,1.799,5099.1,14
-1.1,94.601,-49.5,1.025,4963.6,14
-1.1,94.199,-37.5,0.883,4963.6,14
-1.7,94.055,-39.8,0.729,4991.6,13
-1.8,92.843,-50.0,1.614,5099.1,13
-1.1,94.767,-50.8,1.049,4963.6,13
-1.7,94.215,-40.3,0.876,4991.6,13
-1.7,94.215,-40.3,0.893,4991.6,13
-3.4,92.379,-29.8,0.768,5017.5,13
-3.0,92.713,-33.0,0.714,5023.5,13
-2.9,92.201,-31.4,0.829,5076.2,13
-1.8,93.075,-47.1,1.4,5099.1,13
-2.9,92.201,-31.4,0.834,5076.2,13
-1.7,94.215,-40.3,0.87,4991.6,13
-1.7,94.055,-39.8,0.748,4991.6,12
-1.7,94.055,-39.8,0.715,4991.6,12
-1.7,94.027,-38.3,0.886,4991.6,12
-1.7,94.215,-40.3,0.797,4991.6,12
-1.8,93.369,-34.8,0.65,5008.7,12
-1.8,93.749,-34.6,0.646,5008.7,12
-1.8,93.876,-40.0,0.677,5008.7,12
-1.8,92.843,-50.0,1.556,5099.1,12
-1.7,94.215,-40.3,0.79,4991.6,11
-1.7,94.215,-40.3,0.782,4991.6,11
-0.1,93.798,-40.4,4.968,5195.8,11
-1.1,94.601,-49.5,1.029,4963.6,11
-1.7,94.215,-40.3,0.822,4991.6,11
-1.8,93.749,-34.6,0.663,5008.7,11
-2.9,92.963,-40.8,1.099,5076.2,11
-3.4,92.431,-26.9,0.741,5017.5,11
-1.8,92.843,-50.0,1.51,5099.1,11
-1.8,93.749,-34.6,0.635,5008.7,11
-1.8,92.843,-50.0,1.726,5099.1,11
-3.0,92.713,-33.0,0.72,5023.5,11
-1.8,93.876,-40.0,0.701,5008.7,11
-1.7,94.027,-38.3,0.903,4991.6,11
-1.8,93.876,-40.0,0.692,5008.7,10
-1.8,93.369,-34.8,0.649,5008.7,10
-1.8,93.876,-40.0,0.695,5008.7,10
-1.1,94.767,-50.8,1.04,4963.6,10
-1.8,93.749,-34.6,0.64,5008.7,10
-1.8,92.843,-50.0,1.64,5099.1,10
-1.7,94.215,-40.3,0.885,4991.6,10
-1.8,92.843,-50.0,1.629,5099.1,10
-1.7,94.055,-39.8,0.723,4991.6,10
-3.0,92.713,-33.0,0.712,5023.5,10
-3.0,92.713,-33.0,0.718,5023.5,10
-1.8,93.075,-47.1,1.372,5099.1,10
-0.1,93.2,-42.0,4.245,5195.8,9
-1.1,94.767,-50.8,1.028,4963.6,9
-1.1,94.601,-49.5,1.043,4963.6,9
-2.9,92.963,-40.8,1.206,5076.2,9
-1.8,93.075,-47.1,1.384,5099.1,9
-2.9,92.963,-40.8,1.235,5076.2,9
-2.9,92.963,-40.8,1.244,5076.2,9
-1.1,94.601,-49.5,1.016,4963.6,9
-0.1,93.2,-42.0,4.663,5195.8,9
-1.1,94.767,-50.8,1.039,4963.6,9
-1.8,93.749,-34.6,0.643,5008.7,9
-0.1,93.798,-40.4,5.045,5195.8,9
-3.0,92.713,-33.0,0.71,5023.5,9
-1.7,94.055,-39.8,0.713,4991.6,9
-1.7,94.215,-40.3,0.793,4991.6,9
-1.7,94.027,-38.3,0.896,4991.6,9
-1.8,93.876,-40.0,0.685,5008.7,9
-1.1,94.767,-50.8,1.041,4963.6,9
-1.1,94.767,-50.8,1.031,4963.6,8
-2.9,92.469,-33.6,1.048,5076.2,8
-1.7,94.027,-38.3,0.89,4991.6,8
-0.1,93.2,-42.0,4.7,5195.8,8
-3.4,92.649,-30.1,0.718,5017.5,8
-1.8,93.369,-34.8,0.634,5008.7,8
-1.8,92.843,-50.0,1.56,5099.1,8
-1.8,92.843,-50.0,1.602,5099.1,8
-1.8,92.843,-50.0,1.703,5099.1,8
-3.0,92.713,-33.0,0.709,5023.5,8
-1.8,92.843,-50.0,1.65,5099.1,8
-3.4,92.379,-29.8,0.75,5017.5,7
-1.1,94.767,-50.8,1.035,4963.6,7
-3.4,92.379,-29.8,0.755,5017.5,7
-3.4,92.379,-29.8,0.778,5017.5,7
-3.4,92.379,-29.8,0.753,5017.5,7
-0.1,93.2,-42.0,4.406,5195.8,7
-1.1,94.601,-49.5,0.985,4963.6,7
-0.1,93.798,-40.4,4.86,5195.8,7
-1.7,94.055,-39.8,0.704,4991.6,7
-1.7,94.215,-40.3,0.802,4991.6,7
-2.9,92.469,-33.6,1.085,5076.2,7
-0.1,93.798,-40.4,5.0,5195.8,7
-2.9,92.963,-40.8,1.224,5076.2,7
-0.1,93.798,-40.4,4.912,5195.8,7
-1.8,93.749,-34.6,0.638,5008.7,7
-1.8,93.369,-34.8,0.651,5008.7,7
-1.7,94.055,-39.8,0.737,4991.6,7
-0.1,93.2,-42.0,4.286,5195.8,7
-1.1,94.601,-49.5,0.942,4963.6,7
-0.1,93.798,-40.4,4.936,5195.8,6
-3.4,92.379,-29.8,0.813,5017.5,6
-3.0,92.713,-33.0,0.708,5023.5,6
-3.4,92.379,-29.8,0.771,5017.5,6
-3.0,92.713,-33.0,0.721,5023.5,6
-1.8,92.843,-50.0,1.548,5099.1,6
-1.7,94.055,-39.8,0.732,4991.6,6
-1.8,93.369,-34.8,0.644,5008.7,6
-1.1,94.767,-50.8,1.044,4963.6,6
-1.1,94.767,-50.8,1.03,4963.6,6
-1.1,94.601,-49.5,1.037,4963.6,6
-1.8,93.369,-34.8,0.637,5008.7,6
-1.7,94.027,-38.3,0.888,4991.6,5
-1.1,94.601,-49.5,0.965,4963.6,5
-0.1,93.2,-42.0,4.343,5195.8,5
-0.1,93.798,-40.4,4.794,5195.8,5
-0.1,93.798,-40.4,4.827,5195.8,5
-1.1,94.601,-49.5,1.008,4963.6,5
-1.1,94.601,-49.5,0.993,4963.6,5
-1.7,94.055,-39.8,0.707,4991.6,5
-3.0,92.713,-33.0,0.7,5023.5,5
-1.7,94.215,-40.3,0.881,4991.6,5
-3.4,92.431,-26.9,0.752,5017.5,5
-1.7,94.055,-39.8,0.727,4991.6,5
-1.8,93.749,-34.6,0.654,5008.7,5
-1.7,94.027,-38.3,0.891,4991.6,4
-0.1,93.798,-40.4,4.918,5195.8,4
-3.4,92.379,-29.8,0.762,5017.5,4
-0.1,93.2,-42.0,4.592,5195.8,4
-0.1,93.2,-42.0,4.223,5195.8,4
-1.7,94.055,-39.8,0.711,4991.6,4
-2.9,92.469,-33.6,0.979,5076.2,3
-2.9,92.469,-33.6,1.007,5076.2,3
-2.9,92.469,-33.6,1.018,5076.2,3
-1.7,94.027,-38.3,0.889,4991.6,3
-1.7,94.027,-38.3,0.895,4991.6,3
-1.7,94.027,-38.3,0.894,4991.6,3
-2.9,92.469,-33.6,0.944,5076.2,3
-1.7,94.055,-39.8,0.719,4991.6,3
-2.9,92.469,-33.6,0.914,5076.2,3
-0.1,93.798,-40.4,4.76,5195.8,3
-0.1,93.798,-40.4,4.921,5195.8,3
-0.1,93.2,-42.0,4.474,5195.8,3
-1.8,92.843,-50.0,1.584,5099.1,3
-1.8,92.843,-50.0,1.778,5099.1,3
-1.8,93.876,-40.0,0.69,5008.7,3
-3.4,92.379,-29.8,0.739,5017.5,3
-3.4,92.379,-29.8,0.743,5017.5,3
-3.4,92.379,-29.8,0.766,5017.5,3
-1.8,93.876,-40.0,0.688,5008.7,3
-1.1,94.601,-49.5,0.953,4963.6,2
-0.1,93.2,-42.0,4.733,5195.8,2
-2.9,92.469,-33.6,0.937,5076.2,2
-2.9,92.469,-33.6,0.927,5076.2,2
-2.9,92.469,-33.6,0.921,5076.2,2
-0.1,93.2,-42.0,3.879,5195.8,2
-0.2,92.756,-45.9,3.563,5176.3,2
-3.4,92.379,-29.8,0.749,5017.5,2
-1.7,94.055,-39.8,0.733,4991.6,1
-2.9,92.469,-33.6,0.899,5076.2,1
-2.9,92.469,-33.6,0.903,5076.2,1
-1.8,93.749,-34.6,0.639,5008.7,1
-1.1,94.601,-49.5,0.956,4963.6,1
-1.1,94.601,-49.5,1.045,4963.6,1
-1.1,94.767,-50.8,1.047,4963.6,1
-1.8,92.843,-50.0,1.574,5099.1,1
-0.2,92.756,-45.9,3.053,5176.3,1
-0.2,92.756,-45.9,3.329,5176.3,1
-0.2,92.756,-45.9,3.428,5176.3,1
-0.2,92.756,-45.9,3.488,5176.3,1
-0.2,92.756,-45.9,3.669,5176.3,1
-0.2,92.756,-45.9,3.743,5176.3,1
-0.2,92.756,-45.9,3.816,5176.3,1
-0.1,93.2,-42.0,3.853,5195.8,1
-0.1,93.2,-42.0,3.901,5195.8,1
-2.9,92.469,-33.6,0.996,5076.2,1
-2.9,92.469,-33.6,0.969,5076.2,1
-2.9,92.469,-33.6,0.933,5076.2,1
-0.2,92.756,-45.9,3.282,5176.3,1
